target_index,fault_model,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
0,stuck_at_zero,none,384,383,0,1,0.0000,0.0000,0.0099,0.0078,0.0027,0.0228,1.0000,0.9901,1.0000,0
0,stuck_at_one,none,384,382,0,2,0.0000,0.0000,0.0100,0.0026,0.0005,0.0147,1.0000,0.9900,1.0000,0
