target_index,bit,fault_model,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
0,1,intermittent_burst,none,96,96,0,0,0.0000,0.0000,0.0385,0.0521,0.0224,0.1162,1.0000,0.9615,1.0000,0
0,2,intermittent_burst,none,96,96,0,0,0.0000,0.0000,0.0385,0.0312,0.0107,0.0879,1.0000,0.9615,1.0000,0
0,4,intermittent_burst,none,96,96,0,0,0.0000,0.0000,0.0385,0.0833,0.0428,0.1559,1.0000,0.9615,1.0000,0
0,8,intermittent_burst,none,96,96,0,0,0.0000,0.0000,0.0385,0.0521,0.0224,0.1162,1.0000,0.9615,1.0000,0
