fault_model,l1i_field,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
transient_bit_flip,imm12,none,384,382,0,2,0.0052,0.0014,0.0189,0.0105,0.0041,0.0266,1.0000,0.9900,1.0000,0
transient_bit_flip,cond,none,384,381,0,3,0.0000,0.0000,0.0100,0.0000,0.0000,0.0100,1.0000,0.9900,1.0000,0
