fpu_bitseg,fault_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
mant_hi,transient_bit_flip,384,384,0,0,0.9245,0.8936,0.9469,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,0
mant_lo,transient_bit_flip,384,384,0,0,0.8307,0.7900,0.8649,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,0
