fault_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
transient_bit_flip,384,384,0,0,0.6953,0.6475,0.7392,0.2005,0.1635,0.2434,1.0000,0.9901,1.0000,0
recurring_result_stuck,384,384,0,0,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,1.0000,0.9901,1.0000,0
