fault_model,fpu_bitseg,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
transient_bit_flip,mant_hi,384,384,0,0,1.0000,0.9901,1.0000,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,0
transient_bit_flip,mant_lo,384,384,0,0,0.9115,0.8788,0.9359,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,0
