phys_mode,target_index,fault_model,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
arch_frontend,3,transient_bit_flip,none,384,383,0,1,0.0026,0.0005,0.0146,0.9582,0.9332,0.9741,1.0000,0.9901,1.0000,0
arch_frontend,9,transient_bit_flip,none,384,384,0,0,0.0000,0.0000,0.0099,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,0
