fault_model,target_field,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
transient_bit_flip,data,secded,384,384,0,0,0.0000,0.0000,0.0099,0.0000,0.0000,0.0099,1.0000,0.9901,1.0000,0
transient_bit_flip,tag,secded,384,373,0,11,0.5121,0.4615,0.5624,0.0107,0.0042,0.0272,1.0000,0.9898,1.0000,0
