campaign,unit,fault_model,mode,config_family,workload,n_reps,n_valid,n_inactive,n_simerror,n_sdc,n_crash,n_hang,n_masked,n_inject0,P_SDC,P_DUE,wilson_lo,wilson_hi,denominator,source_run
pwf_v12_dram_ecclogic_pilot,memory,transient_bit_flip,SE,C0,ecclogic,100,100,0,0,85,0,0,15,0,0.8500,0.0000,0.7672,0.9069,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_dram_ecclogic_pilot
pwf_v12_exec_chol_pilot,exec,transient_bit_flip,SE,C0,chol,100,99,0,1,10,52,0,37,1,0.1010,0.5253,0.0558,0.1760,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_exec_chol_pilot
pwf_v12_exec_formal,exec,transient_bit_flip,SE,C0,exec,768,768,0,0,267,461,0,40,0,0.3477,0.6003,0.3148,0.3820,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_exec_formal
pwf_v12_exec_pilot,exec,transient_bit_flip,SE,C0,exec,200,200,0,0,68,120,0,12,0,0.3400,0.6000,0.2779,0.4081,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_exec_pilot
pwf_v12_iq_formal,iq,transient_bit_flip,SE,C0,iq,384,384,0,0,0,0,244,140,244,0.0000,0.6354,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_iq_formal
pwf_v12_iq_omit_pilot,iq,transient_bit_flip,SE,C0,omit,100,100,0,0,0,0,58,42,58,0.0000,0.5800,0.0000,0.0370,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_iq_omit_pilot
pwf_v12_iq_pilot,iq,legal_domain_sub,SE,C0,iq,200,200,0,0,0,0,0,200,0,0.0000,0.0000,0.0000,0.0188,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_iq_pilot
pwf_v12_l1i_fields_pilot,l1i,transient_bit_flip,SE,C0-CACHE,fields,1200,1197,0,3,2,2,1,1192,1,0.0017,0.0025,0.0005,0.0061,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_l1i_fields_pilot
pwf_v12_l2_arms_formal,l2,transient_bit_flip,SE,C0-CACHE,arms,768,757,0,11,191,4,0,562,0,0.2523,0.0053,0.2227,0.2845,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_l2_arms_formal
pwf_v12_l2_arms_pilot,l2,transient_bit_flip,SE,C0-CACHE,arms,400,395,0,5,131,0,0,264,0,0.3316,0.0000,0.2870,0.3795,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_l2_arms_pilot
pwf_v12_l2_victim_pilot,l2,transient_bit_flip,SE,C0-CACHE,victim,100,100,0,0,53,0,0,47,0,0.5300,0.0000,0.4329,0.6249,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_l2_victim_pilot
pwf_v12_prf_x3_formal,physreg,transient_bit_flip,SE,C2,x3,768,768,0,0,768,0,0,0,0,1.0000,0.0000,0.9950,1.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_prf_x3_formal
pwf_v12_specleak_x10_c2_formal,rat,intermittent_burst,SE,C2,c2,384,372,12,0,22,42,0,308,12,0.0591,0.1129,0.0394,0.0879,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_specleak_x10_c2_formal
pwf_v12_specleak_x10_formal,rat,intermittent_burst,SE,C0,x10,384,368,16,0,55,0,0,313,16,0.1495,0.0000,0.1167,0.1895,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v12_specleak_x10_formal
pwf_v13_bpu_formal,bpu,local_mbu,SE,C0,bpu,768,768,0,0,0,0,0,768,0,0.0000,0.0000,0.0000,0.0050,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_bpu_formal
pwf_v13_dram_c2_formal,memory,transient_bit_flip,SE,C2,c2,384,384,0,0,116,0,0,268,0,0.3021,0.0000,0.2583,0.3498,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_dram_c2_formal
pwf_v13_dram_ecclogic_formal,memory,transient_bit_flip,SE,C0,ecclogic,384,384,0,0,320,0,0,64,0,0.8333,0.0000,0.7928,0.8673,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_dram_ecclogic_formal
pwf_v13_exec_c2_formal,exec,transient_bit_flip,SE,C2,c2,384,384,0,0,0,200,0,184,0,0.0000,0.5208,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_exec_c2_formal
pwf_v13_exec_chol_formal,exec,transient_bit_flip,SE,C0,chol,384,380,0,4,33,196,0,151,1,0.0868,0.5158,0.0625,0.1195,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_exec_chol_formal
pwf_v13_fpu_svd_c2_formal,fsu,transient_bit_flip,SE,C2,c2,768,768,0,0,734,0,0,34,0,0.9557,0.0000,0.9388,0.9681,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_fpu_svd_c2_formal
pwf_v13_l1i_formal,l1i,transient_bit_flip,SE,C0-CACHE,l1i,768,763,0,5,2,4,0,757,1,0.0026,0.0052,0.0007,0.0095,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_l1i_formal
pwf_v13_l3_paired_pilot,l2,transient_bit_flip,SE,C0-CACHE,paired,100,100,0,0,0,0,0,100,0,0.0000,0.0000,0.0000,0.0370,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_l3_paired_pilot
pwf_v13_lane_pilot,physreg,transient_bit_flip,SE,C0,lane,400,400,0,0,0,0,0,400,0,0.0000,0.0000,0.0000,0.0095,n_valid(ooo),/home/sdc/gem5-fi/runs/pwf_v13_lane_pilot
ras_formal_cholesky,ras,transient_bit_flip,SE,C2,cholesky,384,357,24,3,0,0,0,357,24,0.0000,0.0000,0.0000,0.0106,n_valid(ooo),/home/sdc/gem5-fi/runs/ras_formal_cholesky
ras_regchain_pilot,memory,transient_bit_flip,SE,C0,regchain,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/ras_regchain_pilot
rat_cholesky_pilot,rat,transient_bit_flip,SE,C0,cholesky,6,6,0,0,0,2,0,4,0,0.0000,0.3333,0.0000,0.3903,n_valid(ooo),/home/sdc/gem5-fi/runs/rat_cholesky_pilot
rat_f5_formal_cholesky,rat,legal_domain_sub,SE,C2,f5,768,761,0,7,0,219,8,534,8,0.0000,0.2983,0.0000,0.0050,n_valid(ooo),/home/sdc/gem5-fi/runs/rat_f5_formal_cholesky
rat_formal_cholesky,rat,transient_bit_flip,SE,C2,cholesky,768,767,0,1,1,308,59,399,59,0.0013,0.4785,0.0002,0.0073,n_valid(ooo),/home/sdc/gem5-fi/runs/rat_formal_cholesky
rob_cholesky_pilot,rat,transient_bit_flip,SE,C0,cholesky,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/rob_cholesky_pilot
rob_formal_cholesky,rob,transient_bit_flip,SE,C2,cholesky,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/rob_formal_cholesky
specleak_branchy_pilot,rat,intermittent_burst,SE,C2,branchy,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/specleak_branchy_pilot
specleak_formal_branchy,rat,intermittent_burst,SE,C2,branchy,768,724,44,0,0,0,0,724,44,0.0000,0.0000,0.0000,0.0053,n_valid(ooo),/home/sdc/gem5-fi/runs/specleak_formal_branchy
specleak_formal_x19,rat,intermittent_burst,SE,C2,x19,384,0,384,0,0,0,0,0,384,n/a,n/a,0.0000,0.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/specleak_formal_x19
sysreg_f5_pilot,sysreg,legal_domain_sub,FS,C0-FS,f5,10,10,0,0,0,0,0,10,0,0.0000,0.0000,0.0000,0.2775,n_valid(ooo),/home/sdc/gem5-fi/runs/sysreg_f5_pilot
tlbf5_formal_fs,l1_tlb,legal_domain_sub,FS,C0-FS,fs,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/tlbf5_formal_fs
tlbf5_pilot,l1_tlb,legal_domain_sub,FS,C0-FS,pilot,2,2,0,0,0,0,0,2,0,0.0000,0.0000,0.0000,0.6576,n_valid(ooo),/home/sdc/gem5-fi/runs/tlbf5_pilot
w23-toy-bm-rat,rat,transient_bit_flip,SE,C3,w23-toy-bm-rat,2,2,0,0,1,1,0,0,0,0.5000,0.5000,0.0945,0.9055,n_valid(ooo),/home/sdc/gem5-fi/runs/w23-toy-bm-rat
w23-toy-bm-rat.eofbug,rat,transient_bit_flip,SE,C3,w23-toy-bm-rat.eofbug,2,2,0,0,1,1,0,0,0,0.5000,0.5000,0.0945,0.9055,n_valid(ooo),/home/sdc/gem5-fi/runs/w23-toy-bm-rat.eofbug
w23-toy-bm-rat.race1,rat,transient_bit_flip,SE,C3,w23-toy-bm-rat.race1,2,2,0,0,1,1,0,0,0,0.5000,0.5000,0.0945,0.9055,n_valid(ooo),/home/sdc/gem5-fi/runs/w23-toy-bm-rat.race1
w23-toy-smoke-prf,physreg,transient_bit_flip,SE,C3,w23-toy-smoke-prf,3,3,0,0,0,0,0,3,0,0.0000,0.0000,0.0000,0.5615,n_valid(ooo),/home/sdc/gem5-fi/runs/w23-toy-smoke-prf
w23-toy-smoke-prf-mb,physreg,transient_bit_flip,SE,C3,w23-toy-smoke-prf-mb,3,3,0,0,0,0,0,3,0,0.0000,0.0000,0.0000,0.5615,n_valid(ooo),/home/sdc/gem5-fi/runs/w23-toy-smoke-prf-mb
