campaign,unit,fault_model,mode,config_family,workload,n_reps,n_valid,n_inactive,n_simerror,n_sdc,n_crash,n_hang,n_masked,n_inject0,P_SDC,P_DUE,wilson_lo,wilson_hi,denominator,source_run
ooo_w81_gate_e083_crc32,rob,transient_bit_flip,SE,C3,crc32,334,334,0,0,0,0,334,0,0,0.0000,1.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e083_crc32
ooo_w81_gate_e083_matmult-int,rob,transient_bit_flip,SE,C3,ooo_w81_gate_e083_matmult-int,334,334,0,0,0,0,334,0,0,0.0000,1.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e083_matmult-int
ooo_w81_gate_e083_md5sum,rob,transient_bit_flip,SE,C3,md5sum,334,334,0,0,0,0,334,0,0,0.0000,1.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e083_md5sum
ooo_w81_gate_e083_minver,rob,transient_bit_flip,SE,C3,minver,334,334,0,0,0,0,334,0,0,0.0000,1.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e083_minver
ooo_w81_gate_e083_nbody,rob,transient_bit_flip,SE,C3,nbody,334,334,0,0,0,0,334,0,0,0.0000,1.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e083_nbody
ooo_w81_gate_e083_wikisort,rob,transient_bit_flip,SE,C3,wikisort,334,334,0,0,0,0,334,0,0,0.0000,1.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e083_wikisort
ooo_w81_gatecheck_e074,rob,transient_bit_flip,SE,C3,e074,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e074
ooo_w81_gatecheck_e075_crc32,rob,transient_bit_flip,SE,C3,crc32,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e075_crc32
ooo_w81_gatecheck_e075_matmult-int,rob,transient_bit_flip,SE,C3,ooo_w81_gatecheck_e075_matmult-int,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e075_matmult-int
ooo_w81_gatecheck_e075_md5sum,rob,transient_bit_flip,SE,C3,md5sum,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e075_md5sum
ooo_w81_gatecheck_e075_minver,rob,transient_bit_flip,SE,C3,minver,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e075_minver
ooo_w81_gatecheck_e075_nbody,rob,transient_bit_flip,SE,C3,nbody,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e075_nbody
ooo_w81_gatecheck_e075_wikisort,rob,transient_bit_flip,SE,C3,wikisort,1,1,0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e075_wikisort
ooo_w81_gatecheck_e082,rob,transient_bit_flip,SE,C3,e082,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e082
ooo_w81_gatecheck_e083_crc32,rob,transient_bit_flip,SE,C3,crc32,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e083_crc32
ooo_w81_gatecheck_e083_matmult-int,rob,transient_bit_flip,SE,C3,ooo_w81_gatecheck_e083_matmult-int,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e083_matmult-int
ooo_w81_gatecheck_e083_md5sum,rob,transient_bit_flip,SE,C3,md5sum,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e083_md5sum
ooo_w81_gatecheck_e083_minver,rob,transient_bit_flip,SE,C3,minver,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e083_minver
ooo_w81_gatecheck_e083_nbody,rob,transient_bit_flip,SE,C3,nbody,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e083_nbody
ooo_w81_gatecheck_e083_wikisort,rob,transient_bit_flip,SE,C3,wikisort,1,1,0,0,0,1,0,0,0,0.0000,1.0000,0.0000,0.7935,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gatecheck_e083_wikisort
p12_setB_dram,memory,transient_bit_flip,SE,C0,dram,20,20,0,0,17,0,0,3,0,0.8500,0.0000,0.6396,0.9476,n_valid(ooo),/home/sdc/gem5-fi/runs/p12_setB_dram
p12_setB_fpu,fsu,transient_bit_flip,SE,C0,fpu,20,20,0,0,20,0,0,0,0,1.0000,0.0000,0.8389,1.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/p12_setB_fpu
p12_setB_l2,l2,transient_bit_flip,SE,C0-CACHE,l2,20,20,0,0,10,0,0,10,0,0.5000,0.0000,0.2993,0.7007,n_valid(ooo),/home/sdc/gem5-fi/runs/p12_setB_l2
p12_setB_specleak,rat,intermittent_burst,SE,C0,specleak,20,18,2,0,1,0,0,17,2,0.0556,0.0000,0.0099,0.2576,n_valid(ooo),/home/sdc/gem5-fi/runs/p12_setB_specleak
p15_h2_fc_scan,physreg,transient_bit_flip,SE,C2,scan,10,10,0,0,0,0,0,10,0,0.0000,0.0000,0.0000,0.2775,n_valid(ooo),/home/sdc/gem5-fi/runs/p15_h2_fc_scan
p15_h2_repro,physreg,transient_bit_flip,SE,C2,repro,20,20,0,0,10,0,0,10,0,0.5000,0.0000,0.2993,0.7007,n_valid(ooo),/home/sdc/gem5-fi/runs/p15_h2_repro
p17_repro_fpu_svd,fsu,transient_bit_flip,SE,C0,svd,100,100,0,0,92,0,0,8,0,0.9200,0.0000,0.8500,0.9589,n_valid(ooo),/home/sdc/gem5-fi/runs/p17_repro_fpu_svd
p17_repro_l2,l2,transient_bit_flip,SE,C0-CACHE,l2,100,100,0,0,56,0,0,44,0,0.5600,0.0000,0.4623,0.6533,n_valid(ooo),/home/sdc/gem5-fi/runs/p17_repro_l2
p17_repro_specleak,rat,intermittent_burst,SE,C0,specleak,100,96,4,0,15,0,0,81,4,0.1562,0.0000,0.0970,0.2419,n_valid(ooo),/home/sdc/gem5-fi/runs/p17_repro_specleak
p81_campaign_smoke,l1d_fwd,transient_bit_flip,SE,C0,smoke,1,1,0,0,1,0,0,0,0,1.0000,0.0000,0.2065,1.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/p81_campaign_smoke
p82_legacy_smoke,fsu,transient_bit_flip,SE,C0,smoke,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/p82_legacy_smoke
p82_uniform_smoke,fsu,transient_bit_flip,SE,C0,smoke,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/p82_uniform_smoke
p84_recurring_smoke,fsu,recurring_result_stuck,SE,C0,smoke,3,3,0,0,0,0,0,3,0,0.0000,0.0000,0.0000,0.5615,n_valid(ooo),/home/sdc/gem5-fi/runs/p84_recurring_smoke
pilot_physreg_x3,physreg,transient_bit_flip,SE,C0,x3,3,3,0,0,3,0,0,0,0,1.0000,0.0000,0.4385,1.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/pilot_physreg_x3
prf_abiclass_pilot,physreg,transient_bit_flip,SE,C2,abiclass,1500,1400,0,100,200,200,0,1000,0,0.1429,0.1429,0.1255,0.1622,n_valid(ooo),/home/sdc/gem5-fi/runs/prf_abiclass_pilot
prf_bitseg_boundary,physreg,transient_bit_flip,SE,C2,boundary,700,700,0,0,100,600,0,0,0,0.1429,0.8571,0.1189,0.1707,n_valid(ooo),/home/sdc/gem5-fi/runs/prf_bitseg_boundary
